id,BertzCT,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3v,Chi4n,EState_VSA1,EState_VSA2,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HallKierAlpha,HeavyAtomMolWt,Kappa3,MaxAbsEStateIndex,MinEStateIndex,NumHeteroatoms,PEOE_VSA10,PEOE_VSA14,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA10,SMR_VSA5,SlogP_VSA3,VSA_EState9,fr_COO,fr_COO2,EC1,EC2,EC3,EC4,EC5,EC6
0,323.3907823,9.879917853,5.875576147,5.875576147,4.304757339,4.304757339,2.754513141,1.749203102,0.0,11.93829424,222.0680796,1.181818182,1.727272727,2.363636364,-0.24,212.163,8.17,11.92250394,0.171585412,4,0.0,91.53649165,0.0,0.0,0.0,17.74406608,0.0,4.794537184,35.52735686,0,0,1,1,0,0,0,0
1,273.7237977,7.259037475,4.441466753,5.834957955,3.285046029,4.48523529,2.20137482,1.289774594,45.13547137,0.0,260.0297186,1.346153846,2.076923077,2.769230769,-0.09,247.031,3.201490511,10.93233796,-4.830449539,10,24.41586555,7.822697123,0.0,0.0,0.0,7.822697123,30.70589228,13.8256584,44.7073097,0,0,0,1,1,0,0,0
2,521.6438224,10.9113027,8.527859221,11.05086439,6.665291047,9.519705869,5.82482214,1.770578623,15.64539425,6.606881965,382.1310265,1.085714286,1.742857143,2.4,-0.78,354.106,15.03388953,11.2380483,-5.066255336,9,0.0,15.64539425,0.0,53.37823529,0.0,15.64539425,73.14361574,17.9644751,45.66011997,0,0,1,1,0,0,1,0
3,567.4311656,12.45334335,7.089119243,12.83370946,6.478023032,10.97815113,7.914541993,3.067181417,95.63955417,0.0,530.0702767,1.162790698,1.573770492,2.27027027,-1.3,506.124,6.724301321,11.17117021,-5.276575465,19,42.72776471,21.33513764,0.0,0.0,6.420821623,15.64539425,62.10730426,31.96194817,87.50999696,0,0,1,1,0,0,0,0
4,112.7707349,4.414719447,2.866235992,2.866235992,1.8756344,1.8756344,1.036449932,0.727664288,17.98045141,12.84164325,118.0629942,1.444444444,2.111111111,2.555555556,-1.1,108.056,3.931271989,9.855740741,-1.676296296,4,6.041840829,11.93861058,6.9237372,19.38639965,0.0,11.93861058,18.88348408,9.589074368,33.33333333,2,2,1,0,1,1,1,0
5,144.9737366,5.54011122,3.481747672,3.481747672,2.481028635,2.481028635,1.512478162,0.671208827,36.92992724,0.0,150.0528234,1.083333333,1.583333333,1.916666667,-0.98,140.05,3.015404674,10.08746929,-1.669305556,6,0.0,5.969305288,0.0,0.0,0.0,11.75255023,24.41586555,9.589074368,43.33333333,1,1,1,0,0,1,0,0
6,397.3782531,7.630228955,4.050364357,4.050364357,2.42790101,2.42790101,1.920495018,1.120915327,0.0,17.91984529,249.9548394,1.25,1.833333333,2.333333333,-1.39,243.065,1.84535989,11.37486064,-0.296712963,10,5.783244946,0.0,0.0,18.57286184,19.54140239,5.907179729,37.56750392,4.736862954,42.16666667,0,0,0,1,1,0,0,0
7,406.2684453,10.75612661,5.985558532,5.985558532,4.248140504,4.248140504,2.837764085,1.718438895,42.72389851,0.0,308.0743467,1.142857143,1.857142857,2.428571429,-1.81,292.111,2.025663274,11.12942793,-1.554927432,12,0.0,118.5375821,0.0,0.0,0.0,12.94444173,36.80985867,18.94745182,53.66666667,0,0,0,1,1,0,0,0
8,626.9494616,8.343336593,4.431698411,7.46091824,3.38144649,6.071114664,2.936651672,1.770578623,52.95816849,0.0,352.2249741,1.0,1.777777778,2.333333333,0.44,320.215,6.948400351,11.74965775,-5.581501461,17,24.41586555,21.33513764,0.0,0.0,0.0,23.46809137,30.64376672,31.96194817,61.66666667,0,0,0,1,1,0,0,0
9,31.01955001,1.414213562,0.49279928,0.49279928,0.11785113,0.11785113,0.0,0.0,0.0,6.410095306,61.01637834,2.0,2.0,2.0,-0.04,58.016,1.47,8.583333333,-0.25,2,0.0,0.0,0.0,0.0,0.0,6.410095306,0.0,4.794537184,13.83333333,0,0,1,1,1,0,0,0
10,221.2638658,7.221032672,4.390691674,5.889596218,3.38144649,4.577084214,2.270069222,0.898364948,7.822697123,13.07910283,260.0297186,1.222222222,1.777777778,2.222222222,-0.09,247.031,3.453383332,10.59031557,-4.957220372,10,24.41586555,7.822697123,0.0,0.0,0.0,7.822697123,0.0,13.8256584,44.55468238,0,0,1,1,0,1,0,0
11,228.7888228,11.30806041,9.207074737,9.207074737,6.665291047,6.665291047,4.67759737,3.068499013,0.0,5.749511833,313.2201263,0.966666667,1.62962963,2.433333333,-1.96,280.263,14.67451954,11.09760674,0.171585412,3,0.0,0.0,18.21840728,0.0,0.0,17.74406608,106.9425309,4.794537184,52.30700113,0,0,1,1,0,0,0,0
12,952.6794199,7.613392203,4.836950237,4.836950237,3.877675541,3.877675541,2.937081972,1.718438895,0.0,0.0,262.0453687,1.214285714,1.857142857,2.214285714,0.02,247.031,6.787396122,11.02457097,-2.084164813,5,0.0,86.74681949,45.44866694,0.0,0.0,17.74406608,78.24175097,4.794537184,51.13308914,0,0,0,1,0,1,0,0
13,224.3672689,4.947264863,4.71624163,5.548946305,3.293262878,4.459037825,2.171408449,1.289774594,0.0,12.84164325,259.045703,1.272727273,2.0,3.0,-0.73,245.039,2.358651237,9.912037037,0.039907407,4,0.0,0.0,0.0,24.26546827,0.0,23.46809137,25.3043057,0.0,16.83333333,0,0,1,1,0,0,0,0
14,791.2936204,9.593172146,5.004680089,5.004680089,4.928733922,4.928733922,3.670527891,2.151882328,0.0,5.749511833,268.0794321,1.142857143,1.785714286,2.428571429,-1.35,256.172,1.868551524,10.48000483,-0.806779074,2,0.0,0.0,12.13273414,12.84164325,5.563451492,10.96924436,0.0,0.0,33.89821264,0,0,1,1,0,1,0,1
15,169.1036009,6.112590865,3.281313951,3.281313951,2.399134275,2.399134275,1.529449222,0.900532041,24.41586555,13.21376393,166.0266087,1.545454546,2.272727273,2.818181818,-0.2,160.084,1.052595156,9.618425926,-0.927962963,6,0.0,62.79260201,0.0,0.0,0.0,0.0,31.02274752,9.843390349,35.65755008,0,0,1,1,0,0,0,0
16,131.0369846,4.03658126,2.239272035,2.239272035,1.975620833,1.975620833,1.015499976,0.102062073,17.98045141,0.0,132.0422587,1.333333333,1.777777778,1.888888889,-1.1,124.051,3.479710145,9.855740741,-2.16087963,5,0.0,5.969305288,0.0,0.0,0.0,11.75255023,13.34455882,9.589074368,37.16666667,1,1,0,1,1,1,0,0
17,91.28421252,3.553418013,2.218621903,2.218621903,1.160967068,1.160967068,0.626669655,0.263350638,12.01114612,0.0,122.0367794,1.888888889,2.777777778,2.777777778,-0.57,116.075,5.43,9.935949074,-0.959212963,4,6.041840829,5.969305288,0.0,19.38639965,0.0,5.969305288,19.38639965,4.794537184,25.33333333,1,1,1,0,0,0,1,0
